Supplement,Overview,SideEffects,Precautions,Dosing
Carbon 60 (C60),carbon 60 is a molecule made up of 60 carbon atoms. the atoms form a molecule shaped like a soccer ball. there's interest in using it in supplements.  carbon 60 was first used in nanotechnology and electronics. carbon 60 is also an antioxidant with potential anti-aging effects. antioxidants may help protect cells from free radicals.  people use carbon 60 for acne  aging skin  and other conditions  but there is no good scientific evidence to support any use. there is also no good evidence to support using carbon 60 for covid-19.,when taken by mouth: there isn't enough reliable information to know if carbon 60 is safe or what the side effects might be.  when applied to the skin: carbon 60 is possibly safe when used for up to 8 weeks.,when taken by mouth: there isn't enough reliable information to know if carbon 60 is safe or what the side effects might be.  when applied to the skin: carbon 60 is possibly safe when used for up to 8 weeks.  pregnancy and breast-feeding: there isn't enough reliable information to know if carbon 60 is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.,a specific carbon 60 gel product (lipofullerene  vitamin c60 bioresearch corporation) has most often been applied to the skin twice daily in adults. speak with a healthcare provider to find out what type of product and dose might be best for a specific condition.
Cardamom,cardamom is an herb that is often used as a spice in foods. the seeds and the oil from the seeds are sometimes used to make medicine.  cardamom contains chemicals that might kill some bacteria  reduce swelling  and help the immune system.  cardamom is used for diabetes  high cholesterol  build up of fat in the liver in people who drink little or no alcohol (nonalcoholic fatty liver disease or nafld)  and other purposes  but there is no good scientific evidence to support its use.,when taken by mouth: cardamom is commonly consumed in foods. it is possibly safe when taken in the larger amounts found in medicine.  when inhaled: it is possibly safe to breathe the vapor from cardamom essential oil as aromatherapy.,when taken by mouth: cardamom is commonly consumed in foods. it is possibly safe when taken in the larger amounts found in medicine.  when inhaled: it is possibly safe to breathe the vapor from cardamom essential oil as aromatherapy. pregnancy: cardamom is commonly consumed in foods. but it is possibly unsafe to take larger amounts of cardamom as medicine when pregnant. there is concern that cardamom might cause a miscarriage.  breast-feeding: cardamom is commonly consumed in foods. there isn't enough reliable information to know if cardamom is safe to use in larger amounts as medicine when breast-feeding. stay on the safe side and stick to food amounts.,cardamom is often included as a spice in foods. as a supplement  it is most often taken by mouth as a dose of 3 grams daily for up to 4 weeks in adults. speak with a healthcare provider to found out what dose might be best for a specific condition.
Cardarine - [Fast Facts],cardarine is a type of chemical known as a metabolic modulator. it changes how the body uses fat. it is banned by the world anti-doping agency (wada).  cardarine is used for weight loss  diabetes  to improve athletic performance  and for other uses  but there is no good scientific evidence to support its use. cardarine might also be unsafe.,when taken by mouth: cardarine is possibly unsafe when taken by mouth. cardarine has not been tested in humans.,when taken by mouth: cardarine is possibly unsafe when taken by mouth. cardarine has not been tested in humans. pregnancy and breast-feeding: cardarine is possibly unsafe when pregnant or breast-feeding. avoid using.,there isn't enough reliable information to know what an appropriate dose of cardarine might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Carlina,carlina is an herb. the roots are used to make medicine.  carlina is used for gallbladder disease  indigestion (dyspepsia)  wound healing  toothache  and many other conditions  but there is no good scientific evidence to support these uses.,when taken by mouth: there isn't enough reliable information to know if carlina is safe or what the side effects might be.  when applied to the skin: there isn't enough reliable information to know if carlina is safe or what the side effects might be.,when taken by mouth: there isn't enough reliable information to know if carlina is safe or what the side effects might be.  when applied to the skin: there isn't enough reliable information to know if carlina is safe or what the side effects might be. pregnancy and breast-feeding: there isn't enough reliable information to know if carlina is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  allergy to ragweed  daisies  and related plants: carlina may cause an allergic reaction in people who are sensitive to the asteraceae/compositae plant family. members of this family include ragweed  chrysanthemums  marigolds  daisies  and many others. if you have allergies  be sure to check with your healthcare provider before taking carlina.,the appropriate dose of carlina depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for carlina. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Carnosine,carnosine is a protein building block that is naturally produced in the body. it is found in muscles  the heart  brain  and many other parts of the body.  carnosine is important for many normal body functions. there's interest in using it to prevent aging because it seems to block certain chemicals that might play a role in the aging process. carnosine levels in the body might also go down with age.  people use carnosine for aging  diabetes  autism  heart failure  depression  and many other conditions  but there is no good scientific evidence to support these uses.  carnosine is also called l-carnosine. don't confuse this with l-carnitine. these are not the same.,when taken by mouth: carnosine is possibly safe. it's been used safely at doses of 200-1500 mg daily. it's usually well-tolerated.  when applied to the skin: there isn't enough reliable information to know if carnosine is safe or what the side effects might be.,when taken by mouth: carnosine is possibly safe. it's been used safely at doses of 200-1500 mg daily. it's usually well-tolerated.  when applied to the skin: there isn't enough reliable information to know if carnosine is safe or what the side effects might be.  pregnancy and breast-feeding: there isn't enough reliable information to know if carnosine is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  surgery: carnosine might affect blood sugar levels and might interfere with blood sugar control during and after surgery. stop taking carnosine at least 2 weeks before a scheduled surgery.,carnosine has most often been used by adults in doses of 500-2000 mg by mouth daily for up to 12 weeks. it's also been used in mouth lozenges and creams. speak with a healthcare provider to find out what type of product and dose might be best for a specific condition.
Carob,carob (ceratonia siliqua) is a tree native to mediterranean regions. its fruit are broad pods that are eaten as food and also used in medicine.  the carob fruit contains dietary fiber and antioxidants. chemicals in carob might have weight loss effects  reduce blood sugar and insulin levels  and lower cholesterol levels.  people use carob for diarrhea and high cholesterol. it is also used for athletic performance  diabetes  prediabetes  nausea and vomiting  obesity  and many other conditions  but there is no good scientific evidence to support most of these uses.,when taken by mouth: carob is commonly consumed in foods. it is possibly safe when used in larger amounts as medicine  short-term. it's generally well-tolerated  but some people might be allergic to carob.,when taken by mouth: carob is commonly consumed in foods. it is possibly safe when used in larger amounts as medicine  short-term. it's generally well-tolerated  but some people might be allergic to carob.  pregnancy and breast-feeding: there isn't enough reliable information to know if carob is safe to use when pregnant or breast-feeding. stay on the safe side and stick to food amounts.  children: carob is possibly safe when used as a thickener in formula for full-term  healthy infants. but it is possibly unsafe to use carob-based milk thickener in preterm infants. there have been two deaths thought to be related to the use of this thickener in preterm infants.,carob is commonly consumed in foods. carob fiber  flour  gum  pod extract  pod powder  and pulp have all be used as medicine in varying doses. speak with a healthcare provider to find out what type of product and dose might be best for a specific condition.
Carqueja,carqueja is an herb. people dry the parts of the plant that grow above the ground and use them to make medicine.  people use carqueja for many conditions  but there is no scientific evidence to support these uses.,when taken by mouth: there isn't enough reliable information to know if carqueja is safe or what the side effects might be.,when taken by mouth: there isn't enough reliable information to know if carqueja is safe or what the side effects might be. pregnancy and breast-feeding: there isn't enough reliable information to know if carqueja is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  allergy to ragweed  daisies  and related plants: carqueja may cause an allergic reaction in people who are sensitive to the asteraceae/compositae plant family. members of this family include ragweed  chrysanthemums  marigolds  daisies  and many others. if you have allergies  be sure to check with your healthcare provider before taking carqueja.  diabetes: carqueja might lower blood sugar levels. using carqueja along with diabetes medications might make blood sugar levels drop too low. monitor blood sugar levels closely.  surgery: carqueja might affect blood glucose levels. there is some concern that it might interfere with blood sugar control during and after surgery. stop using carqueja at least 2 weeks before a scheduled surgery.,the appropriate dose of carqueja depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for carqueja. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Carrageenan,carrageenan is made from parts of various red seaweeds in the rhodophyceae family. it's commonly used to thicken foods  but it has no nutritional value.  carrageenan has been added to processed foods since the 1950s. carrageenan might also help fight infections.  people use carrageenan for cough  common cold  and other conditions  but there is no good scientific evidence to support any uses.,when taken by mouth: carrageenan is commonly consumed in foods. a broken down form called poligeenan is possibly unsafe. it might damage the colon and cause bleeding and cancer. but this risk hasn't been shown in humans. also  carrageenan products found in the us and europe can only contain a very small amount of this broken down form.  when sprayed into the nose: carrageenan is possibly safe for most people when used for up to 7 days.  when applied to the skin: there isn't enough reliable information to know if carrageenan is safe. it might cause side effects such as discomfort.,when taken by mouth: carrageenan is commonly consumed in foods. a broken down form called poligeenan is possibly unsafe. it might damage the colon and cause bleeding and cancer. but this risk hasn't been shown in humans. also  carrageenan products found in the us and europe can only contain a very small amount of this broken down form.  when sprayed into the nose: carrageenan is possibly safe for most people when used for up to 7 days.  when applied to the skin: there isn't enough reliable information to know if carrageenan is safe. it might cause side effects such as discomfort.  pregnancy and breast-feeding: carrageenan is commonly consumed in foods. there isn't enough reliable information to know if it's safe in the larger amounts used as medicine. stay on the safe side and stick to food amounts.  bleeding disorders: carrageenan might slow blood clotting and increase bleeding. carrageenan might make bleeding disorders worse.  surgery: carrageenan might slow blood clotting in some people. carrageenan might increase the risk for bleeding and interfere with blood pressure control during surgical procedures. stop using carrageenan at least 2 weeks before a scheduled surgery.  ulcerative colitis: carrageenan might increase the risk of relapse in people with ulcerative colitis who are in remission and are on a carrageenan-free diet.,carrageenan is commonly added to processed foods.  as medicine  there isn't enough reliable information to know what an appropriate dose of carrageenan might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Carrot,carrot is a plant. the leaves and the part that grows underground (carrot root) are used for food. the part that grows underground is also used for medicine.  carrot root is used for vitamin a deficiency. it is also used to prevent cancer  and for digestive health  obesity  other nutrient deficiencies  and other conditions  but there is no good scientific evidence to support these other uses.  in foods  carrot roots can be eaten raw  boiled  fried  or steamed. carrot root can be eaten alone or added to cakes  puddings  jams  or preserves. carrot root can also be prepared as a juice. carrot leaves can be eaten raw or cooked.,when taken by mouth: carrot is likely safe when eaten as a food. carrot is possibly safe when taken in the larger amounts used as medicine for up to 4 weeks. consuming carrot in amounts much larger than those found in the typical diet for several weeks might cause the skin to turn yellow.  when applied to the skin: there isn't enough reliable information to know if carrot is safe or what the side effects might be. some people are allergic to carrot when applied to the skin.,"when taken by mouth: carrot is likely safe when eaten as a food. carrot is possibly safe when taken in the larger amounts used as medicine for up to 4 weeks. consuming carrot in amounts much larger than those found in the typical diet for several weeks might cause the skin to turn yellow.  when applied to the skin: there isn't enough reliable information to know if carrot is safe or what the side effects might be. some people are allergic to carrot when applied to the skin. pregnancy and breast-feeding: carrot is likely safe when eaten as a food if you are pregnant or breast-feeding. however  there isn't enough reliable information to know if carrot is safe to use as medicine when pregnant or breast-feeding. stay on the safe side and stick to food amounts.  children: carrot is likely safe when eaten as a food. but it is possibly unsafe to give large amounts of carrot juice to infants and young children. large amounts of carrot juice might cause the skin to yellow and the teeth to decay.  allergy to celery and related plants: carrot may cause an allergic reaction in people who are allergic to birch  mugwort  spices  ivy  parsley  celery  and related plants. this has been called the ""celery-carrot-mugwort-spice syndrome.""",the following doses have been studied in scientific research in adults:  adults by mouth: for vitamin a deficiency: eating 100 grams of grated carrots daily for 60 days has been used. children  by mouth: for vitamin a deficiency: eating one spoonful of carrot jam daily for 10 weeks has been used.
Cascara Sagrada,cascara sagrada (frangula purshiana) is a shrub. the dried bark used to be fda approved as an otc laxative for constipation. it's now used in supplements.  cascara sagrada contains chemicals that stimulate the bowel and have a laxative effect.  people use cascara sagrada for constipation  emptying the colon before a colonoscopy  and other conditions  but there is no good scientific evidence to support these uses.  cascara sagrada used to be approved by the us fda as an over-the-counter (otc) drug for constipation  but this approval was taken away in 2002 due to a lack of evidence. today  you can buy cascara sagrada as a dietary supplement  but not as a drug,when taken by mouth: cascara sagrada is possibly safe when used for less than one week. side effects include stomach discomfort and cramps. but cascara sagrada is possibly unsafe when used for more than one week. this could cause more serious side effects  including dehydration  low levels of electrolytes  heart problems  muscle weakness  and others.,when taken by mouth: cascara sagrada is possibly safe when used for less than one week. side effects include stomach discomfort and cramps. but cascara sagrada is possibly unsafe when used for more than one week. this could cause more serious side effects  including dehydration  low levels of electrolytes  heart problems  muscle weakness  and others. pregnancy: there isn't enough reliable information to know if cascara sagrada is safe to use when pregnant. stay on the safe side and avoid use.  breast-feeding: cascara sagrada is possibly unsafe when taken by mouth while breast-feeding. cascara sagrada can cross into breast milk and might cause diarrhea in a nursing infant.  children: cascara sagrada is possibly unsafe when taken by mouth in children. don't give cascara sagrada to children. they are more likely than adults to have serious side effects  including dehydration and low potassium levels.  gastrointestinal (gi) disorders such as intestinal obstruction  crohn disease  ulcerative colitis  appendicitis  stomach ulcers  or unexplained stomach pain: people with any of these conditions should not use cascara sagrada.,cascara sagrada used to be approved by the us fda as an over-the-counter (otc) drug for constipation  but this approval was taken away in 2002 due to a lack of evidence. today  you can buy cascara sagrada as a dietary supplement  but not as a drug.  there isn't enough reliable information to know what an appropriate dose of cascara sagrada might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Cascarilla,cascarilla is a plant. in the past  cascarilla was added to tobacco before smoking because it has a pleasant odor when burned. the bark is used as medicine.  people use cascarilla for digestion problems  diarrhea  and vomiting  but there is no good scientific evidence to support these uses.,when taken by mouth: there isn't enough reliable information to know if cascarilla is safe or what the side effects might be.,when taken by mouth: there isn't enough reliable information to know if cascarilla is safe or what the side effects might be. pregnancy and breast-feeding: there isn't enough reliable information to know if cascarilla is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.,the appropriate dose of cascarilla depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for cascarilla. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Casein Peptides,"casein protein makes up about 80% of the protein found in milk. when consumed  the body breaks casein down into smaller pieces called casein peptides.  casein peptides can also be made in the lab and used in supplements. it's sometimes called ""casein hydrolysate"" or ""hydrolyzed casein"" on labels. some casein peptides might have effects that lower blood pressure. they might also have antiallergy effects when used instead of cow's milk.  people use casein peptides for eczema  food allergies  and being prone to allergies and allergic reactions (atopic disease). they are also used for colic  diabetes  high blood pressure  neonatal jaundice  asthma  infant development  acne  stress  and many other conditions  but there is no good evidence to support most of these uses.  don't confuse casein peptides with casein protein. these are not the same.",when taken by mouth: casein peptides are likely safe when consumed appropriately. they're usually well-tolerated.,when taken by mouth: casein peptides are likely safe when consumed appropriately. they're usually well-tolerated.  pregnancy and breast-feeding: there isn't enough reliable information to know if casein peptides are safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  infants and children: casein peptides are likely safe for children and infants when taken by mouth appropriately. most infants receiving casein peptide-based formulas do not experience side effects.  milk allergy: people with milk allergy are allergic to the proteins contained in milk. they may also be allergic to fragments of milk proteins  such as casein peptides. if you have a milk allergy  it's best to avoid taking casein peptides. there are some specific casein peptide formulas that can be safely given to infants with milk allergy. these formulas are: alimentum  damira 2000  frisolac allergycare  and nutramigen.  surgery: casein peptides might affect blood pressure. this might interfere with blood pressure control during and after surgery. stop taking casein peptides at least 2 weeks before a scheduled surgery.,casein peptides have most often been used by adults in doses up to 10.5 mg by mouth for 21-48 weeks. in infants and newborns  specific casein peptide formulas (nutramigen or progestimil  mead johnson) have been used for up to 18 months. speak with a healthcare provider to find out what type of product and dose might be best for a specific condition.
Casein Protein,casein protein is a protein found in milk that gives milk its white color. cow's milk consists of around 80% casein protein. in addition to milk  casein protein is found in yogurt  cheese  and infant formulas  as well as in a variety of dietary supplements. do not confuse casein protein with casein peptides. casein peptides are made by breaking casein protein down into smaller pieces.  casein protein is taken by mouth to improve athletic performance  diabetes  liver disease due to alcohol consumption  and many other conditions  but there is no good evidence to support these uses.,when taken by mouth: casein protein is likely safe for most people when taken by mouth. most adults do not experience side effects when casein protein is taken for as long as 12 months.,when taken by mouth: casein protein is likely safe for most people when taken by mouth. most adults do not experience side effects when casein protein is taken for as long as 12 months. pregnancy and breast-feeding: there isn't enough reliable information to know if casein protein is safe to use in amounts greater than those found in foods when pregnant or breast-feeding. stay on the safe side and stick to food amounts.  infants and children: casein protein is possibly safe for children and infants when taken by mouth. most infants receiving casein protein formulas do not experience side effects.  milk allergy: people with milk allergy can be allergic to the proteins contained in milk such as casein protein. if you have a milk allergy  it's best to avoid taking casein protein.,the appropriate dose of casein protein depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for casein protein. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Cashew,cashew is a tree that is native to brazil. it also grows in parts of asia and africa. its nut  also known as cashew  is commonly eaten as food. people also use the nut to make medicine.  cashew is used for diabetes  high cholesterol  heart disease  stomach and intestinal (gastrointestinal) ailments  skin problems  and other conditions  but there is no good scientific evidence to support these uses.,when taken by mouth: cashew is likely safe in normal food amounts. it is possibly safe when used as a medicine at up to 11% of calories in the diet. some people are allergic to cashew. cashew nuts may also cause bloating  constipation  weight gain  and joint swelling in some people. but these side effects are rare.  when applied to the skin: there isn't enough reliable information to know if cashew is safe. if the unroasted cashew is used it might cause skin irritation  redness  and blisters. some people are allergic to cashew when touched.,when taken by mouth: cashew is likely safe in normal food amounts. it is possibly safe when used as a medicine at up to 11% of calories in the diet. some people are allergic to cashew. cashew nuts may also cause bloating  constipation  weight gain  and joint swelling in some people. but these side effects are rare.  when applied to the skin: there isn't enough reliable information to know if cashew is safe. if the unroasted cashew is used it might cause skin irritation  redness  and blisters. some people are allergic to cashew when touched.  pregnancy and breast-feeding: there isn't enough reliable information to know if cashew is safe to use as medicine when pregnant or breast-feeding. stay on the safe side and stick with food amounts.  allergy to certain other nuts or pectin: cashew might cause allergic reactions in people who are sensitive to hazelnut  brazil nut  pistachio  almond  peanut  sumac  mango  pink peppercorn  citrus seeds  yuzu  or pectin. if you have allergies  be sure to check with your healthcare provider before taking cashew.  diabetes: eating large amounts of cashew might increase blood sugar levels. but not all research agrees. if you have diabetes and use cashew  be sure to monitor you blood sugar carefully. the doses of your diabetes medications might need to be adjusted.  surgery: since cashew might affect blood sugar levels  there is some concern that it might interfere with blood sugar control during and after surgery. stop eating large amounts of cashew at least 2 weeks before a scheduled surgery.,the appropriate dose of cashew for use as treatment depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for cashew. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Cassava,cassava is a root vegetable. people use the root as a food and to make medicine.  cassava is used for tiredness  dehydration in people with diarrhea  sepsis  and to induce labor  but there is no good scientific evidence to support these uses.  cassava root and leaves are eaten as food. the nutritional value of cassava is similar to a potato. however  cassava contains chemicals called cyanogenic glycosides. these chemicals can release cyanide in the body. cassava must be prepared correctly before eating to prevent cyanide poisoning.,when taken by mouth: cassava that has been prepared properly is likely safe for most people when eaten occasionally in normal food amounts. however  cassava that has not been prepared properly is possibly unsafe. cassava that is prepared improperly can contain chemicals that are converted to cyanide in the body. this may cause cyanide poisoning and lead to certain paralysis conditions. this is especially true if eaten as part of a low-protein diet.  in some people  eating cassava can cause an allergic reaction.  there isn't enough reliable information to know if cassava is safe to use as a medicine or what the side effects might be.,when taken by mouth: cassava that has been prepared properly is likely safe for most people when eaten occasionally in normal food amounts. however  cassava that has not been prepared properly is possibly unsafe. cassava that is prepared improperly can contain chemicals that are converted to cyanide in the body. this may cause cyanide poisoning and lead to certain paralysis conditions. this is especially true if eaten as part of a low-protein diet.  in some people  eating cassava can cause an allergic reaction.  there isn't enough reliable information to know if cassava is safe to use as a medicine or what the side effects might be. pregnancy and breast-feeding: it's possibly unsafe to eat cassava regularly as part of the diet if you are pregnant. it might cause birth defects. it is also possibly unsafe to insert cassava into the vagina. it might cause the uterus to contract. this might cause a miscarriage.  cassava is possibly unsafe to eat regularly as part of the diet when breast-feeding. eating cassava might expose the infant to chemicals that can affect thyroid function.  children: cassava is possibly safe for children when eaten occasionally in normal food amounts. however  cassava contains chemicals that can cause certain paralysis conditions. children are more prone to these adverse effects than adults. also  eating cassava regularly has been linked to low blood levels of certain vitamins in children. cassava is possibly unsafe when eaten regularly as a food in large amounts. children who eat large amounts of cassava may have a higher chance of developing certain paralysis conditions.  allergies to latex: cassava might cause an allergic reaction in people who are sensitive to latex.  iodine deficiency: cassava might lower the amount of iodine absorbed by the body. for people who already have low levels of iodine  eating cassava might make this condition worse.  protein deficiency: cassava contains chemicals that can cause serious side effects. people who have low protein intake may be more prone to these side effects.  thyroid disease: eating cassava might lower levels of thyroid hormones. for people with thyroid disease  especially those needing to use thyroid hormone replacement therapy  eating cassava might make this condition worse.,the appropriate dose of cassava depends on several factors such as the user's age  health  and several other conditions. at this time  there is not enough scientific information to determine an appropriate range of doses for cassava. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Cassia Auriculata,cassia auriculata is an evergreen shrub that grows in many parts of india and in other parts of asia. the flower  buds  leaves  stem  root  and unripe fruit are used for treatment  especially in ayurvedic medicine.  people use cassia auriculata for diabetes  pink eye  joint and muscle pain (rheumatism)  constipation  and other conditions  but there is no good scientific evidence to support any use.,when taken by mouth: there isn't enough reliable information to know if cassia auriculata is safe or what the side effects might be.  when applied into the eye: there isn't enough reliable information to know if cassia auriculata is safe or what the side effects might be.,when taken by mouth: there isn't enough reliable information to know if cassia auriculata is safe or what the side effects might be.  when applied into the eye: there isn't enough reliable information to know if cassia auriculata is safe or what the side effects might be. pregnancy and breast-feeding: there isn't enough reliable information to know if cassia auriculata is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  surgery: cassia auriculata might affect blood sugar levels. there is some concern that it might make blood sugar control difficult during and after surgery. stop taking cassia auriculata at least 2 weeks before a scheduled surgery.,the appropriate dose of cassia auriculata depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for cassia auriculata. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Cassia Cinnamon,cassia cinnamon (cinnamomum aromaticum) is made from the dried inner bark of an evergreen tree. it's the most common type of cinnamon sold in north america.  cassia cinnamon contains chemicals that seem to improve insulin sensitivity  which might help blood sugar control in people with diabetes. it also contains cinnamaldehyde. this chemical might help fight bacteria and fungi.  cassia cinnamon is a very common spice and flavoring agent in foods. as medicine  people most commonly use cassia cinnamon for diabetes. it is also used for prediabetes  obesity  and many other conditions  but there is no good scientific evidence to support these uses.  don't confuse cassia cinnamon with other types of cinnamon  including ceylon cinnamon  indian cassia  padang cassia  and saigon cinnamon. also don't confuse cassia cinnamon with other plants known as cassia  including cassia auriculata and cassia nomame. these are not the same.,when taken by mouth: cassia cinnamon is commonly consumed in foods. it is likely safe when used as medicine  short-term. doses of 1-2 grams daily have been used safely for up to 3 months. cassia cinnamon is possibly unsafe when taken in doses larger than 6 grams daily for a long period of time. cassia cinnamon contains a chemical called coumarin. taking large amounts of coumarin can cause liver damage in some people  especially those who have liver disease. but for most people  it shouldn't cause serious side effects.  when applied to the skin: cassia cinnamon is possibly safe when used short-term. it might cause skin irritation and allergic skin reactions.,when taken by mouth: cassia cinnamon is commonly consumed in foods. it is likely safe when used as medicine  short-term. doses of 1-2 grams daily have been used safely for up to 3 months. cassia cinnamon is possibly unsafe when taken in doses larger than 6 grams daily for a long period of time. cassia cinnamon contains a chemical called coumarin. taking large amounts of coumarin can cause liver damage in some people  especially those who have liver disease. but for most people  it shouldn't cause serious side effects.  when applied to the skin: cassia cinnamon is possibly safe when used short-term. it might cause skin irritation and allergic skin reactions. pregnancy and breast-feeding: cassia cinnamon is commonly consumed in foods. there isn't enough reliable information to know if cassia cinnamon is safe to use in larger amounts while pregnant or breast-feeding. stay on the safe side and stick to food amounts.  children: cassia cinnamon is possibly safe when taken by mouth appropriately. one gram of cassia cinnamon daily has been used safely in teens for up to 3 months.  liver disease: cassia cinnamon contains a chemical that might harm the liver. if you have liver disease  do not take cassia cinnamon in amounts larger than those normally found in food.  perioperative: cassia cinnamon might lower blood sugar and might interfere with blood sugar control during and after surgery. stop taking cassia cinnamon as a medicine at least 2 weeks before a scheduled surgery.,cassia cinnamon is commonly used in foods as a spice and flavoring agent.  as medicine  cassia cinnamon powder has most often been used by adults in doses ranging from 120 mg daily up to 6 grams daily for up to 4 months. speak with a healthcare provider to find out what dose might be best for a specific condition.
Cassia Nomame,cassia nomame is an annual or short-lived perennial plant from the pea family. the above-ground parts are used to make medicine.  people take cassia nomame by mouth for obesity  constipation  to increase urine output  and for other conditions  but there is no good scientific evidence to support these uses.,when taken by mouth: there isn't enough reliable information to know if cassia nomame is safe or what the side effects might be.,when taken by mouth: there isn't enough reliable information to know if cassia nomame is safe or what the side effects might be. pregnancy and breast-feeding: there isn't enough reliable information to know if cassia nomame is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.,the appropriate dose of cassia nomame depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for cassia nomame. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Cassie Absolute,cassie absolute is an extract of the flower of acacia farnesiana. it is used for medicine.  cassie absolute is used for rheumatoid arthritis (ra)  tuberculosis  diarrhea  stomach cancer  and many other conditions  but there is no good scientific evidence to support these uses.  in foods and beverages  cassie absolute is used for flavoring.  in manufacturing  cassie absolute is used as a fragrance in perfumes.,when taken by mouth: cassie absolute is likely safe when taken by mouth in food amounts. there isn't enough reliable information to know if cassie absolute is safe or what the side effects might be when taken in larger medicinal amounts.  when applied to the skin: there isn't enough reliable information to know if cassie absolute is safe or what the side effects might be.,when taken by mouth: cassie absolute is likely safe when taken by mouth in food amounts. there isn't enough reliable information to know if cassie absolute is safe or what the side effects might be when taken in larger medicinal amounts.  when applied to the skin: there isn't enough reliable information to know if cassie absolute is safe or what the side effects might be. pregnancy and breast-feeding: there isn't enough reliable information to know if cassie absolute is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.,the appropriate dose of cassie absolute depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for cassie absolute. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
