Supplement,Effectiveness,Description
Chrysanthemum,,
Chrysin,,
Chuchuhuasi,Insufficient Evidence for,Arthritis. Back pain. Broken bones. Diarrhea. Complications after childbirth. Joint pain. Sexual arousal. Other conditions.
Chymotrypsin,Effective for,"Cataract surgery, when used by a healthcare professional."
Chymotrypsin,Insufficient Evidence for,Burns. There is some evidence that taking a mixture of chymotrypsin and trypsin by mouth might decrease tissue destruction in burn patients. Chronic pain and swelling (inflammation) of salivary glands (chronic obstructive parotitis). There is some evidence that injecting chymotrypsin into the channels (ducts) in salivary (parotid) glands might decrease pain and swelling in people with chronic obstructive parotitis. Fractures. There is some evidence that taking a mixture of chymotrypsin and trypsin by mouth might reduce swelling in hand fractures. Asthma. Swelling (inflammation) of the main airways in the lung (bronchitis). Cough. Critical illness (trauma). Sinus infections. Skin conditions such as abscesses and ulcers. Wound healing. Other conditions.
Cilantro,Insufficient Evidence for,Cancer. Lead poisoning. Measles. Mercury poisoning. Toothache. Other conditions.
Cinchona,,
Cissus Quadrangularis,Possibly Effective for,"Obesity. Taking Cissus quadrangularis extract by mouth, alone or with other ingredients, seems to help reduce body weight in people who are overweight or obese."
Cistanche Deserticola,Insufficient Evidence for,Kidney health. Constipation. Tetanus. Weakness and fatigue. Memory. Sexual health and fertility. Other uses.
Citicoline,Possibly Effective for,"Decline in memory and thinking skills that occurs normally with age. Taking citicoline by mouth or by IV seems to help with memory loss in people over 50 years old. IV products can only be given by a healthcare provider. A group of eye disorders that can lead to vision loss (glaucoma). Taking citicoline by mouth, as a shot, or as eye drops might improve vision in some people with glaucoma. Citicoline shots can only be given by a healthcare provider."
Citicoline,Possibly Ineffective for,Stroke. Taking citicoline by mouth or by IV doesn't seem to help with recovery in most people who have had a stroke in the past 24 hours.
Citric Acid,,
Citronella Oil,Possibly Effective for,Mosquito repellent. Applying citronella oil to the skin seems to help prevent mosquito bites for a short period of time. The concentration of the citronella oil seems to affect how well and how long the protection lasts. Higher concentrations seem to last longer.
Clary Sage,Insufficient Evidence for,Nausea and vomiting after surgery. Early research shows that inhaling clary sage as aromatherapy after surgery does not prevent nausea or vomiting. Pain after surgery. Early research shows that inhaling clary sage as aromatherapy after surgery does not reduce pain. Anxiety. Depression. Digestive disorders. Indigestion (dyspepsia). Kidney diseases. Menstrual cramps (dysmenorrhea). Stress. Symptoms of menopause. Other conditions.
Clay,Possibly Effective for,"Diarrhea caused by rotavirus. Taking clay by mouth seems to reduce the duration of acute diarrhea by about 1 day in infants and children. It might also increase the number of children cured by day 3. In most studies, acute diarrhea was caused by rotavirus."
Clay,Insufficient Evidence for,"Diarrhea caused by cancer drug treatment. Taking clay by mouth doesn't seem to improve symptoms in people with diarrhea caused by cancer drug treatment. But the results from this study are unreliable due to the low rate of severe diarrhea the occurred during the study. The low rate of severe diarrhea may have caused to study to be too small to determine differences between the treatment and control group. A long-term disorder of the large intestines that causes stomach pain (irritable bowel syndrome or IBS). Some early research suggests that taking a type of clay by mouth for 8 weeks improves pain, discomfort, and bloating in people with IBS who have diarrhea. Other research suggests that taking another form of clay improves pain and discomfort in people with IBS in which the major symptom is constipation but not diarrhea. However, some research suggests that clay is less effective than a product containing karaya gum at improving pain and intestine function in people with IBS. Swelling (inflammation) and sores inside the mouth (oral mucositis). Applying a cream containing clay and a form of iodine to sores inside the mouth seems to help sores heal faster. It's unclear if this benefit is due to clay, iodine, or the combination. Nausea. Poisoning. Other conditions."
Clematis Recta,,
Clivers,Insufficient Evidence for,Fluid retention. Painful urination. Psoriasis. Enlarged lymph nodes. Skin ulcers. Breast lumps. Skin rashes. Other conditions.
Clove,Possibly Effective for,Pneumonia in people on breathing machines in the hospital. Use of a clove mouthwash might prevent pneumonia in people on breathing machines in the hospital.
Clown'S Mustard Plant,Possibly Effective for,"Heartburn, when a combination of clown's mustard plant and several other herbs is used. The combination (Iberogast, Medical Futures, Inc) includes clown's mustard plant plus peppermint leaf, German chamomile, caraway, licorice, milk thistle, celandine, angelica, and lemon balm. Taking this product reduces the amount of stomach acid in the throat (acid reflux), stomach pain, cramping, nausea, and vomiting."
Clown'S Mustard Plant,Insufficient Evidence for,Irritable bowel syndrome (IBS). Gastritis. Bloating. Gout. Muscle and joint aches and pains (rheumatism). Rapid heartbeat. Asthma. Bronchitis. Other conditions.
Clubmoss,Insufficient Evidence for,Bladder disorders. Kidney disorders. Other conditions.
Cnidium,Insufficient Evidence for,"Increasing sexual performance and sex drive. Erectile dysfunction (ED). Inability to become pregnant within a year of trying to conceive (infertility). Muscle strength. Cancer. Weak and brittle bones (osteoporosis). Infections. Increasing energy. Skin conditions including itchy skin, rashes, eczema (atopic dermatitis), and ringworm (Tinea corporis), when applied to the skin. Other conditions."
Cobalt,Insufficient Evidence for,Low levels of red blood cells in people with a long-term illness (anemia of chronic disease). Other conditions.
Coca,Likely InEffective for,Athletic performance. Coca increases heart rate but it doesn't seem to improve the body's ability to exercise.
Cocillana,,
Cocoa,Possibly Effective for,"Heart disease. Eating cocoa lowers the chance of heart disease and death. Cocoa might have this effect by lowering blood pressure and improving blood vessel function. High blood pressure. Eating dark chocolate or cocoa products for 2-8 weeks can lower blood pressure in people with high blood pressure. But these benefits are only seen when cocoa comes from plain, unsweetened chocolate. Eating cocoa from desserts might increase the risk for high blood pressure."
Cocoa,Possibly Ineffective for,High cholesterol. Consuming cocoa by mouth does not seem to improve cholesterol levels in people with high cholesterol. Stretch marks. Applying a cream containing cocoa butter during pregnancy does not seem to prevent stretch marks.
Coconut,,
Coconut Oil,Possibly Effective for,"Eczema (atopic dermatitis). Applying coconut oil to the skin can reduce eczema symptoms in children more than applying mineral oil. Growth and development in premature infants. Applying coconut oil to the skin of premature infants might improve body temperature, breathing, skin health, and overall growth."
Coconut Water,,
Cod Liver Oil,Likely Effective for,Lowering blood fats called triglycerides. Taking cod liver oil by mouth can reduce triglyceride levels by 20% to 50% in people with high triglyceride levels.
Cod Liver Oil,Possibly Effective for,"High blood pressure. Taking cod liver oil by mouth seems to lower blood pressure (both numbers) a small, but important, amount in people with mild high blood pressure. Kidney disease in people with type 2 diabetes. Taking cod liver oil seems to reduce protein in the urine, a marker for kidney disease severity."
Cod Liver Oil,Possibly Ineffective for,Coronavirus disease 2019 (COVID-19). Taking cod liver oil by mouth does not seem to help prevent COVID-19.
Codonopsis,,
Coenzyme Q10,Likely Effective for,"Coenzyme Q10 deficiency. Taking coenzyme Q10 by mouth seems to improve symptoms of coenzyme Q10 deficiency. This is a very rare condition. The symptoms include weakness, fatigue, and seizures. A group of disorders that most often cause muscle weakness (mitochondrial myopathies). Taking coenzyme Q10 by mouth seems to reduce symptoms of mitochondrial myopathies. However, improvement in symptoms is slow. Some people have to take coenzyme Q10 for 6 months to get the most benefit."
Coenzyme Q10,Possibly Effective for,"Heart failure and fluid build up in the body (congestive heart failure or CHF). Early research found that heart failure might be linked with low coenzyme Q10 levels. Some research shows that taking coenzyme Q10 might help reduce some symptoms of heart failure. Coenzyme Q10 might also reduce the chances of death or hospitalization related to heart failure. Nerve pain in people with diabetes (diabetic neuropathy). Research shows that taking coenzyme Q10 improves nerve damage and nerve pain in people with nerve damage caused by diabetes. Fibromyalgia. Some research shows that taking coenzyme Q10 by mouth reduces pain, tenderness, fatigue, and sleep issues in people with fibromyalgia. Tissue damage caused when there is limited blood flow and then blood flow is restored (ischemia-reperfusion injury). Reduced blood supply during heart or blood vessel surgery can deprive tissue of oxygen. When blood supply returns to this tissue, the tissue can become damaged. There is some evidence that taking coenzyme Q10 by mouth for at least one week before heart bypass surgery or blood vessel surgery might help to reduce tissue damage. However, not all research agrees with this finding. Migraine. Taking coenzyme Q10 by mouth seems to help prevent migraine headaches in adults. Taking coenzyme Q10 also appears to reduce migraine frequency in children who have low levels of coenzyme Q10. It may take up to 3 months to see any benefit. Multiple sclerosis (MS). Taking coenzyme Q10 by mouth seems to reduce tiredness and low mood in people with MS. A group of inherited disorders that cause muscle weakness and muscle loss (muscular dystrophy). Taking coenzyme Q10 by mouth seems to improve physical performance in some people with muscular dystrophy. Heart attack. When started within 72 hours of a heart attack and taken for one year, coenzyme Q10 appears to lower the risk of heart-related events, including another heart attack. A disease that causes curved, painful erections (Peyronie disease). Research shows that taking coenzyme Q10 improves erectile function in men with painful erections."
Coenzyme Q10,Possibly Ineffective for,"Alzheimer disease. Taking coenzyme Q10 by mouth doesn't seem to improve mental function in people with Alzheimer disease. Lou Gehrig's disease (amyotrophic lateral sclerosis or ALS). Taking coenzyme Q10 by mouth does not slow the progression of ALS. Tiredness in people treated with cancer drugs. Taking coenzyme Q10 by mouth does not seem to reduce fatigue in people being treated for breast cancer. Diabetes. Taking coenzyme Q10 by mouth does not lower blood sugar levels in people with type 1 or type 2 diabetes. Parkinson disease. Taking coenzyme Q10 by mouth does not seem to improve symptoms in people with Parkinson disease. Symptoms such as muscle weakness and fatigue that affect polio survivors. Taking coenzyme Q10 does not improve muscle strength, muscle function, or fatigue in polio survivors."
Coenzyme Q10,Likely InEffective for,"Athletic performance. Taking coenzyme Q10 by mouth, alone or with other ingredients, doesn't improve athletic performance in athletes or non-athletes. An inherited brain disorder that affects movements, emotions, and thinking (Huntington disease). One large research study shows that taking coenzyme Q10 in large doses (2.4 grams daily) for up to 5 years does not stop Huntington disease symptoms from getting worse."
Coenzyme Q10,Insufficient Evidence for,"Chest pain (angina). Some early research shows that taking coenzyme Q10 by mouth might reduce chest pain and improve exercise ability in people with chest pain. Heart damage caused by certain cancer drugs (anthracycline cardiotoxicity). Early research shows that taking coenzyme Q10 by mouth might protect the heart in children aged 3-12 years who are being treated with a class of drugs called anthracyclines. But results from larger studies are inconsistent. Autism. Early research shows that taking a specific form of coenzyme Q10 called ubiquinol improves autism symptoms in autism patients aged 3-6 years according to parent assessment. Higher quality studies are needed to confirm these results. Bipolar disorder. Early research shows that taking coenzyme Q10 improves symptoms of depression in people over 55 years of age with bipolar disorder. Breast cancer. Some research in Chinese women suggests that having low blood levels of coenzyme Q10 is linked to an increased risk of breast cancer. Cancer. Low coenzyme Q10 levels seem to be linked with an increased risk of skin cancer. Early research suggests that taking coenzyme Q10 along with other antioxidants increases survival time by 40% in patients with terminal cancer. Higher quality studies are needed to confirm these results. Brain damage that affects muscle movement (cerebellar ataxia). Early research suggests that taking coenzyme Q10 by mouth can improve posture and muscle function in people with cerebellar ataxia and low coenzyme Q10 levels. However, it doesn't seem to benefit people with normal coenzyme Q10 levels. A lung disease that makes it harder to breathe (chronic obstructive pulmonary disease or COPD). Early research suggests that taking coenzyme Q10 does not improve lung function or exercise performance in people with COPD. A disorder that causes repeated episodes of nausea and vomiting (cyclic vomiting syndrome or CVS). Early research suggests that taking coenzyme Q10 might work as well as prescription medications used to treat CVS. Weakened and enlarged heart (dilated cardiomyopathy). Early research suggests that taking coenzyme Q10 improves heart function in children and adolescents with dilated cardiomyopathy. Dry mouth. Early research suggests that taking an altered form of coenzyme Q10 called ubiquinol improves dry mouth. Hearing loss. Some research suggests that taking coenzyme Q10 can improve hearing in some people with age-related hearing loss. But combining coenzyme Q10 with conventional steroid treatments doesn't improve hearing in people with sudden deafness. Also, it doesn't appear to improve hearing in people with noise-induced hearing loss. Swelling (inflammation) of the liver caused by the hepatitis C virus (hepatitis C). Research shows that taking coenzyme Q10 does not improve liver function in people with hepatitis C who are not responding to conventional treatment. High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). It's unclear if coenzyme Q10 reduces cholesterol levels. One study shows it might lower triglycerides and LDL (or ""bad"" cholesterol) by a small amount. Other studies show no benefit of taking coenzyme Q10 for lowering total cholesterol or LDL or increasing HDL (or ""good"" cholesterol) levels. It may take at least 3 months to see any benefit. High blood pressure. Some research shows that taking coenzyme Q10 by itself or along with other medications for treating high blood pressure helps lowers blood pressure in people with high blood pressure. However, not all research has shown benefit. Coenzyme Q10 might only benefit people with high blood pressure who also have diabetes or low blood levels of coenzyme Q10 before treatment. Taking coenzyme Q10 by mouth daily appears to lower systolic blood pressure (the top number) in some people with high systolic blood pressure but normal diastolic blood pressure (the bottom number). Weakened and thickened heart (hypertrophic cardiomyopathy). Taking coenzyme Q10 by mouth seems to decrease the thickness of the heart wall and decrease symptoms of shortness of breath and fatigue in people with hypertrophic cardiomyopathy. Inability to become pregnant within a year of trying to conceive (infertility). Although coenzyme Q10 might increase the chance of getting pregnant, it might not reduce miscarriage or increase successful pregnancies in women with this condition. Kidney failure. Some early research suggests that taking coenzyme Q10 improves kidney function in people with kidney failure. But it might not be helpful in people with less severe kidney disease. Conditions in a man that prevent him from getting a woman pregnant within a year of trying to conceive (male infertility). There is some early evidence that taking coenzyme Q10 or an altered form of coenzyme Q10 called ubiquinol by mouth for 3-6 months can improve the movement and density of sperm in men with certain types of infertility. It's unclear if these improvements increase pregnancy rate. An inherited form of diabetes that is linked with deafness. Early research suggests that taking coenzyme Q10 by mouth might prevent the progression of a rare form of diabetes that is inherited from the mother. Build up of fat in the liver in people who drink little or no alcohol (nonalcoholic fatty liver disease or NAFLD). Early research shows that taking coenzyme Q10 can improve markers of liver injury and disease severity in people with NAFLD. Obesity. Taking coenzyme Q10 does not seem to help with weight loss. Parkinson disease. Some research shows that taking coenzyme Q10 by itself or along with other supplements might slow mental decline in people with early-stage Parkinson disease. At least 16 months of treatment and doses above 600 mg daily appear to be needed to achieve these benefits. However, not all data has been positive. Some research shows that coenzyme Q10 does not benefit people with early or mid-stage Parkinson disease. A serious gum infection (periodontitis). Applying coenzyme Q10 to the gums is not effective for treating gum disease. However, there is some early evidence that taking coenzyme Q10 by mouth might be helpful. A hormonal disorder that causes enlarged ovaries with cysts (polycystic ovary syndrome or PCOS). Early research shows that taking coenzyme Q10 can reduce hair loss and acne in women with PCOS. It might also reduce blood sugar levels and cholesterol levels. A rare inherited disorder that causes obesity, short stature, and learning disability (Prader-Willi syndrome or PWS). Early research suggests that taking coenzyme Q10 improves mental and physical development in children with PWS. But it is not clear if these improvements are due to the coenzyme Q10 or an age-related phenomenon. A pregnancy complication marked by high blood pressure and protein in the urine (pre-eclampsia). Pre-eclampsia is a condition that some women develop during pregnancy. Some research shows that women who are at risk have a lower chance of developing the condition if they take coenzyme Q10 from week 20 of pregnancy until the baby is delivered. Schizophrenia. It is unclear if taking coenzyme Q10 improves symptoms in people with schizophrenia. Blood infection (sepsis). Some early research shows that taking coenzyme Q10 might prevent death in people with blood infections. But other research shows that taking a form of coenzyme Q10 called ubiquinol doesn't prevent death. Coenzyme Q10 doesn't seem to reduce time in the hospital due to a blood infection. Muscle pain caused by statin drugs (statin-induced myalgia). Statins, a class of drugs used to lower cholesterol, can sometimes cause muscle pain. There is some evidence that taking coenzyme Q10 might reduce this pain. But not all research agrees. Muscle weakness caused by statin drugs (statin-induced myopathy). Statins, a class of drugs used to lower cholesterol, can sometimes cause muscle weakness. There is some evidence that taking coenzyme Q10 might improve this weakness. But not all research agrees. Skin wrinkles from sun damage. Early evidence suggests that applying a coenzyme Q10 cream to the skin improves wrinkled skin. An eye disease that leads to vision loss in older adults (age-related macular degeneration or AMD). Aging. An inherited disease of the nerves and muscles (Friedreich ataxia). Asthma. Cataracts. Chronic fatigue syndrome (CFS). Cocaine use disorder. Dry eye. Heart disease. Kidney damage in people with diabetes (diabetic nephropathy). Other conditions."
Coffee,Likely Effective for,Mental alertness. Drinking caffeinated coffee throughout the day seems to increase alertness and thinking skills. Caffeine can also improve alertness after sleep deprivation. Even one cup of caffeinated coffee can reduce fatigue and increase alertness.
Coffee,Possibly Effective for,"Diabetes. People who drink more coffee seem to have a lower risk of developing type 2 diabetes. The risk lowers more with each cup that's consumed. People with type 2 diabetes who drink more coffee might also have a slightly lower risk of dying. Heart failure. Drinking caffeinated coffee seems to reduce the long-term risk of heart failure in people who do not have heart disease. Death from any cause. Drinking coffee every day is linked to a slightly lower risk of dying from any cause or from heart disease. It's unclear if drinking coffee is linked with a lower risk of death from cancer. Parkinson disease. Drinking caffeinated coffee seems to reduce the risk of developing Parkinson disease. The risk lowers more with each cup that's consumed in males, but not in females. Coffee doesn't seem to help prevent Parkinson disease in people who smoke cigarettes. Ability to open bowels and pass stool (poop) following surgery. Drinking coffee might speed up the first stool after certain gut surgeries. Impaired movement of food through the intestines after surgery. Drinking coffee might prevent the impaired movement of food through the intestines after certain gut surgeries."
Coffee,Possibly Ineffective for,Cancer of the esophagus. Drinking coffee doesn't seem to lower the risk of developing cancer of the esophagus.
Coffee,Insufficient Evidence for,"Hardening of the arteries (atherosclerosis). The buildup of calcium-containing plaque in the arteries is an early sign of possible atherosclerosis. Drinking coffee doesn't seem to be linked with a lower buildup of calcium-containing plaque in the arteries. Irregular heartbeat (atrial fibrillation). Drinking more coffee doesn't seem to be linked to a lower risk of atrial fibrillation. Bladder cancer. Drinking coffee doesn't seem to change the risk of bladder cancer. Brain cancer. Some early evidence suggests that Asian people who drink more coffee have a lower risk of developing brain cancer. This does not seem to be true for non-Asian people. Breast cancer. People who drink more coffee don't seem to have a lower chance of developing breast cancer. Heart disease. It is unclear if drinking coffee lowers the chance of developing heart disease. But it might lower the risk for heart failure and the likelihood of death from heart disease. Long-term kidney disease (chronic kidney disease or CKD). People who drink coffee seem to have a slightly lower chance of developing CKD. People with CKD who drink coffee might have a slightly lower risk for kidney failure or death due to kidney failure. Memory and thinking skills (cognitive function). There is developing evidence that drinking more coffee over a lifetime might improve thinking skills among women older than 80 years of age. Coffee also might improve the thinking speed and certain types of memory in healthy adults. Colon cancer, rectal cancer. There is some evidence that Japanese people who drink more coffee have a lower chance of developing colon or rectal cancer. But research conducted in North America and Europe has not found a link between drinking coffee and the risk of colon and rectal cancer. Drinking more coffee seems to slightly reduce the risk of death in people who have colon or rectal cancer. Diseases, such as Alzheimer disease, that interfere with thinking (dementia). People who drink more coffee don't seem to have a lower chance of dementia. Depression. People who drink more coffee might have a lower chance of depression. Cancer of the lining of the uterus (endometrial cancer). The effect of coffee on the risk of endometrial cancer is unclear. Some research suggests that women who drink more coffee have a lower risk of developing endometrial cancer. But other research has not found a link between drinking coffee and the risk of endometrial cancer. Gallbladder disease. People who drink beverages such as coffee that provide at least 400 mg of caffeine per day seem to have a lower risk of developing gallstones. The greater the intake of caffeine, the lower the risk. Stomach cancer. People who drink more coffee don't seem to have a lower risk of stomach cancer. Gout. There is some evidence that both caffeinated and decaffeinated coffee seem to help to prevent gout. But caffeinated coffee seems to work better. Hearing loss. Males who drink at least one cup of coffee daily seem to have a slightly lower chance of hearing loss. But drinking coffee doesn't seem to have this effect in females. High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Some research suggests that drinking caffeinated coffee seems to reduce levels of total cholesterol, LDL or ""bad cholesterol"", and blood fats called triglycerides by a small amount. But other research suggests that drinking coffee increases triglyceride and cholesterol levels. High blood pressure. People who drink coffee long-term might have a lower risk for high blood pressure. But smoking might eliminate this benefit. Drinking 1-3 cups daily seems to be most beneficial. Low blood pressure. Drinking caffeinated beverages like coffee seems to increase blood pressure in elderly people who experience dizziness after meals due to low blood pressure. Kidney failure. People with long-term kidney disease who drink coffee seem to have a slightly lower chance of kidney failure or death due to kidney failure. Liver cancer. People who drink more coffee might have a lower risk of liver cancer. Liver disease. People who drink more coffee might have a lower risk of liver disease. Lung cancer. Some research suggests that drinking caffeinated coffee may help to prevent lung cancer, but other research disagrees. It's too early to draw firm conclusions. Meanwhile, some research suggests that drinking decaffeinated coffee may help to prevent lung cancer. The most serious type of skin cancer (melanoma). When factors such as age and sun exposure are taken into account, drinking coffee doesn't seem to be linked with a lower chance of developing skin cancer. Build up of fat in the liver in people who drink little or no alcohol (nonalcoholic fatty liver disease or NAFLD). It's unclear if drinking coffee reduces the risk of NAFLD. Nonmelanoma skin cancer. Some research shows that drinking many cups of coffee per day might reduce the risk of a specific form of skin cancer called basal cell carcinoma. But drinking decaffeinated coffee does not seem to have any effect on skin cancer risk. Obesity. The effect of coffee on weight loss in people who are overweight or obese is unclear. Results from research are conflicting. Some research suggests that taking coffee chemicals, called mannooligosaccharides, for 12 weeks might help with weight loss in men, but not women. Drinking a dark roast coffee seems to help reduce food intake and help with weight loss, whereas a light roast coffee does not. Other research suggests that drinking coffee with or without caffeine does not help with weight loss. Mouth cancer. People who drink more coffee don't seem to have a lower risk of mouth cancer. Ovarian cancer. Drinking coffee doesn't seem to change a person's risk for ovarian cancer. Swelling (inflammation) of the pancreas (pancreatitis). Some early research suggests that drinking 3 or more cups of coffee reduces the pancreatitis risk. A type of throat cancer (pharyngeal cancer). People who drink more coffee might have a lower chance of developing pharyngeal cancer. Prostate cancer. In general, people who drink more coffee seem to have a slightly lower risk of developing prostate cancer that has not spread outside the prostate. Thyroid cancer. Drinking more coffee seems to be linked with a lower risk of thyroid cancer. Attention deficit-hyperactivity disorder (ADHD). Constipation. Other conditions."
Coffee Charcoal,Insufficient Evidence for,"Crohn disease. Diarrhea. A long-term disorder of the large intestines that causes stomach pain (irritable bowel syndrome or IBS). A type of inflammatory bowel disease (ulcerative colitis). Mouth and throat swelling (inflammation), when applied directly. Angina. Migraine. Infected wounds, when applied directly. Other conditions."
Cola Nut,,
Coleus,Possibly Effective for,A heart condition called idiopathic congestive cardiomyopathy. Some research shows that giving coleus intravenously (by IV) may improve the function of the heart in people with congestive cardiomyopathy. Asthma. Some research shows that inhaling a single dose of coleus can improve symptoms of asthma.
Collagen Peptides,Possibly Effective for,"Aging skin. Taking collagen peptides by mouth seems to improve skin hydration and skin elasticity in older people. It might also help reduce wrinkles, but it's not clear if it helps enough to be noticeable. Dry skin. Taking collagen peptides by mouth seems to improve skin hydration and skin elasticity in people with dry skin."
Collagen Peptides,Possibly Ineffective for,"Muscle strength. Taking collagen peptides by mouth does not seem to improve leg muscle strength. However, collagen peptides may improve hand-grip strength."
Collagen Type I (Native),,
Collagen Type Ii (Native),Possibly Effective for,"Osteoarthritis. Taking collagen type II by mouth for up to 6 months seems to improve self-reported symptoms of osteoarthritis, such as stiffness and pain. But it's not clear if it can prevent the narrowing of the joint in people with osteoarthritis."
Collagen Type Ii (Native),Possibly Ineffective for,"Rheumatoid arthritis (RA). Taking collagen type II by mouth doesn't improve symptoms of RA. In fact, using it in place of drugs for RA such as methotrexate might make symptoms worse."
Collard,,
Colloidal Minerals,Insufficient Evidence for,Mineral deficiencies. Low energy. Diabetes. Arthritis. Reducing blood cell clumping. Reversing early cataracts. Turning gray hair dark again. Flushing poisonous heavy metals from the body. Improving general well-being. Reducing aches and pains. Other conditions.
Colloidal Silver,Possibly Ineffective for,Swelling (inflammation) of the nasal cavity and sinuses (rhinosinusitis). Using a nasal spray containing colloidal silver does not work any better than saline nasal spray for reducing symptoms of sinusitis.
Colocynth,,
Coltsfoot,Insufficient Evidence for,Swelling (inflammation) of the main airways in the lung (bronchitis). Asthma. Swelling (inflammation) of the voice box (laryngitis). Whooping cough (pertussis). Sore throat. Cough. Wheezing. Other conditions.
Columbine,Insufficient Evidence for,Stomach and intestinal problems. Gallbladder disorders. A disease caused by vitamin C deficiency (scurvy). Vitamin C-deficiency (scurvy). Jaundice. As a calming agent (tranquilizer). Skin rashes. Other conditions.
Combretum Micranthum,,
Comfrey,,
Common Stonecrop,,
Condurango,,
Conjugated Linoleic Acid (Cla),Possibly Effective for,"High blood pressure. Taking CLA by mouth along with a drug called ramipril seems to reduce blood pressure more than ramipril alone in people with uncontrolled high blood pressure. However, taking CLA alone does not seem to reduce blood pressure. Obesity. Taking CLA by mouth daily might help decrease body fat in adults and children. CLA might also reduce feelings of hunger, but it's not clear if this reduces food intake. CLA doesn't seem to decrease body weight or body mass index (BMI) in most people."
Conjugated Linoleic Acid (Cla),Possibly Ineffective for,Common cold. Taking CLA by mouth does not prevent or reduce symptoms of the common cold. Diabetes. Taking CLA by mouth does not improve pre-meal or post-meal blood sugar or insulin levels in people with type 2 diabetes. High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Taking CLA by mouth or drinking milk containing CLA doesn't seem to improve levels of cholesterol or blood fats called triglycerides in people with mildly high cholesterol levels.
Copaiba Balsam,,
Copper,Likely Effective for,Copper deficiency. Taking copper by mouth or by IV is effective for treating copper deficiency and anemia caused by copper deficiency. IV products can only be given by a healthcare provider.
Copper,Possibly Effective for,"Osteoporosis. Taking copper in combination with zinc, manganese, and calcium might slow bone loss in older women."
Copper,Possibly Ineffective for,Alzheimer disease. Taking copper by mouth for 12 months doesn't improves Alzheimer disease.
Coral,Likely Effective for,"Use as a surgical replacement for bone. Coral can be used in place of bone for spinal fusions and bone tumors. It can also be used in dental, facial, and other surgeries. Coral offers some advantages over bone transplants. It has a lower rate of infection and doesn't carry the risk of transmitting HIV, hepatitis, or Creutzfeldt-Jakob disease."
Coral,Insufficient Evidence for,Calcium supplementation. Multiple sclerosis (MS). Cancer. Heart disease. Other conditions.
Cordyceps,Possibly Ineffective for,Athletic performance. Taking cordyceps by mouth doesn't seem to improve athletic performance in adults.
Coriander,,
Corkwood Tree,,
Corn Poppy,,
Corn Silk,,
Cornflower,Insufficient Evidence for,"Fever. Menstrual disorders. Yeast infections. Constipation. Chest congestion. Liver and gallbladder disorders. Eye irritation, when applied directly. Other conditions."
Corydalis Yanhusuo,,
Costus,,
Cotton,Insufficient Evidence for,Malaria. Early research suggests that taking a specific preparation (AM-1) containing cotton and other ingredients by mouth for up to 7 days helps eliminate malaria parasites in people with malaria. Bringing on labor and childbirth. Diarrhea. Fever. Headache. Male birth control. Menopausal symptoms. Menstrual disorders. Nausea. Other conditions.
Couch Grass,Insufficient Evidence for,Constipation. Cough. Bladder swelling (inflammation). Fever. High blood pressure. Kidney stones. Other conditions.
Cowhage,,
Cowslip,Possibly Effective for,"Inflamed nasal passages (sinusitis). Taking products containing cowslip, gentian root, European elder flower, verbena, and sorrel seems to improve symptoms of sinusitis. Taking a similar product containing cowslip and these ingredients along with a prescription intranasal steroid also seems to improve nasal symptoms better than taking the intranasal steroid alone."
Cowslip,Insufficient Evidence for,"Bronchitis. Early research shows that taking cowslip root in combination with thyme (Bronchipret) by mouth relieves symptoms of bronchitis such as coughing, fever, and increased production of mucus. Asthma. Cough. Fluid retention. Gout. Headache. Hysteria. Insomnia. Nerve pain. Nervous excitability. Nervous system complaints. Spasms. Tremors. Whooping cough. Other conditions."
Cranberry,Possibly Effective for,"Infections of the kidney, bladder, or urethra (urinary tract infections or UTIs). Taking certain cranberry products by mouth seems to help prevent UTIs in adult females, children, and people at risk for developing UTIs due to certain surgeries or radiation treatment. But it doesn't seem to help people with neurogenic bladder, a condition caused by a spinal cord injury. Cranberry products do not seem prevent UTIs in elderly or pregnant people. It's important to note that while cranberry might help prevent UTIs in some people, it shouldn't be used to treat UTIs."
Creatine,Possibly Effective for,"Athletic performance. Taking creatine by mouth seems to somewhat improve rowing, jumping, and soccer performance. It's not clear if it helps with sprinting, cycling, swimming, or tennis. Disorders of creatine metabolism or transport. Taking creatine by mouth daily can increase creatine levels in the brain in children and young adults with conditions called GAMT deficiency or AGAT deficiency. But taking creatine doesn't seem to improve brain creatine levels in children who have a disorder in which creatine isn't transported properly. Muscle strength. Taking creatine by mouth seems to somewhat improve muscle strength in both younger and older adults. It's not clear if applying creatine to the skin helps. Age-related muscle loss (sarcopenia). Taking creatine by mouth for up to 12 weeks seems to improve muscle strength in older adults. It seems to work best when used along with exercise to build muscles."
Creatine,Possibly Ineffective for,"Lou Gehrig disease (amyotrophic lateral sclerosis or ALS). Taking creatine by mouth does not seem to slow disease progression or improve survival in people with ALS. An inherited brain disorder that affects movements, emotions, and thinking (Huntington disease). Taking creatine by mouth does not improve symptoms in people with Huntington disease. Low bone mass (osteopenia). Taking creatine by mouth doesn't seem to slow or reduce bone loss in people with osteopenia."
